pais,fecha,nombre
Argentina,2026-01-01,Año Nuevo
Brasil,2026-01-01,Año Nuevo
Chile,2026-01-01,Año Nuevo
España,2026-01-01,Año Nuevo
México,2026-01-01,Año Nuevo
Portugal,2026-01-01,Año Nuevo
USA,2026-01-01,New Year's Day
Uruguay,2026-01-01,Año Nuevo
Venezuela,2026-01-01,Año Nuevo
España,2026-01-06,Epifanía del Señor
USA,2026-01-17,Martin Luther King Day
México,2026-02-02,Día de la Constitución
Argentina,2026-02-16,Carnaval
Uruguay,2026-02-16,Carnaval
Venezuela,2026-02-16,Carnaval
Argentina,2026-02-17,Carnaval
Venezuela,2026-02-17,Carnaval
USA,2026-02-21,Presidents' Day
México,2026-03-16,Natalicio de Benito Juárez
Yemen,2026-03-18,Eid al-Fitr
Yemen,2026-03-19,Eid al-Fitr Eve
Yemen,2026-03-20,Eid al-Fitr
Argentina,2026-03-24,Día Nacional de la Memoria
Argentina,2026-04-02,Día del Veterano de Malvinas
México,2026-04-02,Jueves Santo
Uruguay,2026-04-02,Semana Santa
Venezuela,2026-04-02,Jueves Santo
Argentina,2026-04-03,Viernes Santo
Brasil,2026-04-03,Pasión de Cristo
Chile,2026-04-03,Viernes Santo
España,2026-04-03,Viernes Santo
México,2026-04-03,Viernes Santo
Portugal,2026-04-03,Viernes Santo
Uruguay,2026-04-03,Semana Santa
Venezuela,2026-04-03,Viernes Santo
España,2026-04-06,Lunes de Pascua
Brasil,2026-04-21,Día de Tiradentes
Argentina,2026-05-01,Día del Trabajador
Brasil,2026-05-01,Día del Trabajador
Chile,2026-05-01,Día del Trabajador
España,2026-05-01,Día del Trabajo
México,2026-05-01,Día del Trabajador
Portugal,2026-05-01,Día del Trabajador
Uruguay,2026-05-01,Día del Trabajador
Venezuela,2026-05-01,Día del Trabajo
Yemen,2026-05-01,Labor Day
Chile,2026-05-21,Glorias Navales
Yemen,2026-05-22,Unity Day
Argentina,2026-05-25,Revolución de Mayo
Yemen,2026-05-26,Eid al-Adha
Yemen,2026-05-27,Eid al-Adha
USA,2026-05-30,Memorial Day
Brasil,2026-06-04,Corpus Christi
Portugal,2026-06-04,Corpus Christi
Portugal,2026-06-10,Día de Portugal
Argentina,2026-06-15,General Güemes
España,2026-06-24,San Juan
Venezuela,2026-06-24,Batalla de Carabobo
Chile,2026-06-29,San Pedro y San Pablo
USA,2026-07-04,Independence Day
Argentina,2026-07-09,Día de la Independencia
Brasil,2026-07-09,Revolución de 1932
Venezuela,2026-07-24,Día de Simón Bolívar
Argentina,2026-08-17,San Martín
Uruguay,2026-08-25,Independencia
USA,2026-09-05,Labor Day
Brasil,2026-09-07,Independencia
México,2026-09-16,Independencia
Chile,2026-09-18,Independencia
Portugal,2026-10-05,República
USA,2026-10-10,Columbus Day
Argentina,2026-10-12,Diversidad Cultural
Brasil,2026-10-12,Virgen Aparecida
Chile,2026-10-12,Encuentro de Dos Mundos
España,2026-10-12,Fiesta Nacional
Venezuela,2026-10-12,Resistencia Indígena
Brasil,2026-11-02,Día de los Muertos
USA,2026-11-11,Veterans Day
México,2026-11-16,Revolución
Brasil,2026-11-20,Conciencia Negra
Argentina,2026-11-23,Soberanía Nacional
USA,2026-11-24,Thanksgiving
Portugal,2026-12-01,Restauración
Argentina,2026-12-08,Virgen
Chile,2026-12-08,Inmaculada Concepción
España,2026-12-08,Inmaculada Concepción
Portugal,2026-12-08,Inmaculada Concepción
Uruguay,2026-12-24,Nochebuena
Venezuela,2026-12-24,Nochebuena
Argentina,2026-12-25,Navidad
Brasil,2026-12-25,Navidad
Chile,2026-12-25,Navidad
España,2026-12-25,Navidad
México,2026-12-25,Navidad
Portugal,2026-12-25,Navidad
USA,2026-12-25,Christmas
Uruguay,2026-12-25,Navidad
Venezuela,2026-12-25,Navidad
Uruguay,2026-12-31,Fin de Año
Venezuela,2026-12-31,Fin de Año
